"any","Codi arxiu digital","duració","exposició","instal.lació","núm. inventari","observacions","préstec","productor","qualitat","Realització","so","status","suport","tipus","títol"
"1996","045_FV7_C016_NI322","Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",322,,"Babuin, digitalització (gener 2011)","Canal Sur TV","màster","Canal Sur TV","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""Carmen y la libertad"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",329,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","2/3","VHS","color","Andalucía un siglo de fascinación. ""Carmen y la libertad"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",336,,"DONAT A JORGE BLASCO","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","3/3","VHS","color","Andalucía un siglo de fascinación. ""Carmen y la libertad"""
"1996","045_FV7_C016_NI318","Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",318,,"Babuin, digitalització (gener 2011)","Canal Sur TV","màster","Canal Sur TV","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""Desde los más hondo I: Silverio"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",325,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","2/3","VHS","color","Andalucía un siglo de fascinación. ""Desde los más hondo I: Silverio"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",332,,"DONAT A JORGE BLASCO","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","3/3","VHS","color","Andalucía un siglo de fascinación. ""Desde los más hondo I: Silverio"""
"1996","045_FV7_C016_NI319","Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",319,,"Babuin, digitalització (gener 2011)","Canal Sur TV","màster","Canal Sur TV","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""Desde los más hondo II: El museo japonés"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",326,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","2/3","VHS","color","Andalucía un siglo de fascinación. ""Desde los más hondo II: El museo japonés"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",333,,"DONAT A JORGE BLASCO","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","3/3","VHS","color","Andalucía un siglo de fascinación. ""Desde los más hondo II: El museo japonés"""
"1996","045_FV7_C016_NI320","Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",320,,"Babuin, digitalització (gener 2011)","Canal Sur TV","màster","Canal Sur TV","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""El grito del Sur. Casas Viejas"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",327,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","2/3","VHS","color","Andalucía un siglo de fascinación. ""El grito del Sur. Casas Viejas"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",334,,"DONAT A JORGE BLASCO","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","3/3","VHS","color","Andalucía un siglo de fascinación. ""El grito del Sur. Casas Viejas"""
"1996","045_FV7_C016_NI317","Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",317,,"Babuin, digitalització (gener 2011)","Canal Sur TV","màster","Canal Sur TV","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""El jardín de los poetas"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",324,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","2/3","VHS","color","Andalucía un siglo de fascinación. ""El jardín de los poetas"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",331,,"DONAT A JORGE BLASCO","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","3/3","VHS","color","Andalucía un siglo de fascinación. ""El jardín de los poetas"""
"1996","045_FV7_C016_NI321","Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",321,,"Babuin, digitalització (gener 2011)","Canal Sur TV","màster","Canal Sur TV","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""Ojos Verdes"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",328,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","2/3","VHS","color","Andalucía un siglo de fascinación. ""Ojos Verdes"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",335,,"DONAT A JORGE BLASCO","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","3/3","VHS","color","Andalucía un siglo de fascinación. ""Ojos Verdes"""
"1996","045_FV7_C016_NI316","Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",316,,"Babuin, digitalització (gener 2011)","Canal Sur TV","màster","Canal Sur TV","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""Paraisos"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",323,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","2/3","VHS","color","Andalucía un siglo de fascinación. ""Paraisos"""
"1996",,"Total dels 7 capítols: 9h","Cultures d'arxiu","Andalucía un siglo de fascinación",330,,"DONAT A JORGE BLASCO","Canal Sur TV","còpia d'exposició","Canal Sur TV","si","3/3","VHS","color","Andalucía un siglo de fascinación. ""Paraisos"""
"1996","045_FV5_C017_NI374","175 segons","Cultures d'arxiu","Andalucía, un siglo de fascinación",374,"és una sel·lecció per a premsa (Paraísos, 73 seg.; El grito del sur. ""Casas Viejas"", 53 seg.; Carmen y la libertad, 49 seg.","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/2","Betacam SP S","color","Andalucía, un siglo de fascinación"
"1996",,"175 segons","Cultures d'arxiu","Andalucía, un siglo de fascinación",375,"és una sel·lecció per a premsa (Paraísos, 73 seg.; El grito del sur. ""Casas Viejas"", 53 seg.; Carmen y la libertad, 49 seg.",,"Llorenç Torrada",,"Llorenç Torrada","si","2/2","Betacam SP S","color","Andalucía, un siglo de fascinación"
"1995, març.",,,"Els límits del Museu (15 març - 4 juny 1995)","Una introducció a la Fundació A. Tàpies",47,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Fundació Antoni Tàpies",,"Andrea Fraser, Estudi Fornell.",,"còpia 2","VHS PAL","color","Andrea Fraser - Una introducció a la Fundac. A. Tàpies"
"1995. març",,"20 min.","Els Límits del Museu (15 març - 4 juny 1995)","Una introducció a la Fundació Antoni Tàpies",45,"còpia FAT bona de l'original que se li ha enviat a l'autora ",,"Fundació Antoni Tàpies",,"Andrea Fraser, Estudi Fornell",,"còpia ","BETACAM SP","color","Andrea Fraser - Una introducció a la Fundació Antoni Tàpies"
"1995, març.",,,"Els límits del Museu (15 març - 4 juny 1995)","Una introducció a la Fundació Antoni Tàpies",46,,,"Fundació Antoni Tàpies",,"Andrea Fraser, Estudi Fornell.",,"còpia 1","VHS PAL","color","Andrea Fraser - Una introducció... versió sense subtítol"
"1995",,,"Els límits del Museu (15 març - 4 juny 1995)","Between the Frames (auditori)",41,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Antoni Muntadas",,"Antoni Muntadas",,"còpia 2","VHS PAL","color","Antoni Muntadas: Between the frames. Capitols 1-2-3-4-5-6"
"1995",,,"Els límits del Museu (15 març - 4 juny 1995)","Between the Frames (auditori)",39,,"Babuin, digitalització (MAIG 2011)","Antoni Muntadas",,"Antoni Muntadas",,"còpia 1","VHS PAL","color","Antoni Muntadas: Between the frames. Capítols 1-2-3-4-5-6"
"1995",,,"Els límits del Museu (15 març - 4 juny 1995)","Between the Frames (auditori)",40,,"Babuin, digitalització (MAIG 2011)","Antoni Muntadas",,"Antoni Muntadas",,"còpia 1","VHS PAL","color","Antoni Muntadas: Between the frames. Capítols 7-8"
"1995",,,"Els límits del Museu (15 març - 4 juny 1995)","Between the Frames (auditori)",42,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Antoni Muntadas",,"Antoni Muntadas",,"còpia 2","VHS PAL ","color","Antoni Muntadas: Between the frames. Capítols 7-8"
"1982",,"00:52:00","Antoni Tàpies. Col·lecció. 2010","Espai A",752,"Avís de propera projecció en acabar cada versió.
El documental mostra el procés de realització de l’obra Gran nus, 1982, la qual pertany al fons de la Col·lecció de la Fundació i actualment és en exposició, a la vegada que inclou imatges d’Antoni Tàpies llegint fragments de textos diversos que l’artista considera significatius. Entre d’altres, Antoni Tàpies llegeix textos de J.V. Foix, Joan Brossa i, especialment, fragments d’una traducció al francès del llibre d’Eugen Herrigel Zen in der Kunst des Bogenschießens [El zen en l’art del tir amb l’arc].",,"Ina (Antenne2)","Bona","André S. Labarthe","VO en francès, subtítols (loop) català, castellà i anglès",,"DVD - Loop","Color","Antoni Tàpies, 1982 "
"1982",,"00:52:00","Antoni Tàpies. Col·lecció. 2010","Espai A",753,"Còpia amb TC
El documental mostra el procés de realització de l’obra Gran nus, 1982, la qual pertany al fons de la Col·lecció de la Fundació i actualment és en exposició, a la vegada que inclou imatges d’Antoni Tàpies llegint fragments de textos diversos que l’artista considera significatius. Entre d’altres, Antoni Tàpies llegeix textos de J.V. Foix, Joan Brossa i, especialment, fragments d’una traducció al francès del llibre d’Eugen Herrigel Zen in der Kunst des Bogenschießens [El zen en l’art del tir amb l’arc].",,"Ina (Antenne2)","Còpia amb TC","André S. Labarthe","VO (francès i català)",,"DVD","Color","Antoni Tàpies, 1982 "
"1982","105_FV6_C016_NI763","00:52:00","Antoni Tàpies. Col·lecció. 2010","Espai A",763,,"Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Ina (Antenne2)",,"Fundació Antoni Tàpies",,,"Betacam Digital","Color","Antoni Tàpies, 1982 "
"1982",,"00:52:00",,,816,"El documental mostra el procés de realització de l’obra Gran nus, 1982, la qual pertany al fons de la Col·lecció de la Fundació i actualment és en exposició, a la vegada que inclou imatges d’Antoni Tàpies llegint fragments de textos diversos que l’artista considera significatius. Entre d’altres, Antoni Tàpies llegeix textos de J.V. Foix, Joan Brossa i, especialment, fragments d’una traducció al francès del llibre d’Eugen Herrigel Zen in der Kunst des Bogenschießens [El zen en l’art del tir amb l’arc].",,"Ina (Antenne2)","bona","André S. Labarthe","V.O. en francès, subtítols en català, castellà i anglès",,"DVD Loop","color","Antoni Tàpies, 1982 "
"1984",,"00:06:41",,,772,"Entrevista a l'Antoni Tàpies I imatges de la realització del cartell de tv3
© TV3",,"Jordi Muñoz, TV3.",,"Fundació Antoni Tàpies","V.O. en català",,"DVD (loop)","Color","Antoni Tàpies: cartell TV3"
"1984",,"00:06:41",,,773,"Entrevista a l'Antoni Tàpies I imatges de la realització del cartell de tv3
© TV3",,"Jordi Muñoz, TV3.",,"Lluis M. Güell","V.O. en català",,"DVD (loop)","Color","Antoni Tàpies: cartell TV3"
"2008",,"00:10:00",,,777,"Fragment del documental:
Tàpies, 1990
Gregory Rood
Omnibus BBC i TVE Catalunya
Màster",,"Fundació Antoni Tàpies","Bona","Fundació Antoni Tàpies, Servei educatiu","Sí",,"DVD","Color","Antoni Tàpies. El procés creatiu"
"2008",,"00:10:00",,,778,"Fragment del documental:
Tàpies, 1990
Gregory Rood
Omnibus BBC i TVE Catalunya
Màster",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies, Servei educatiu","Sí",,"DVD","Color","Antoni Tàpies. El procés creatiu"
"2008",,"00:10:00",,,779,"Fragment del documental:
Tàpies, 1990
Gregory Rood
Omnibus BBC i TVE Catalunya
Baixa",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies, Servei educatiu","Sí",,"DVD","Color","Antoni Tàpies. El procés creatiu"
"2008",,"00:03:00",,,780,"Fragment del documental:
Tàpies, 1990
Gregory Rood
Omnibus BBC i TVE Catalunya
Fragment ",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies, Servei educatiu","Sí",,"DVD","Color","Antoni Tàpies. El procés creatiu"
"2001 -2009",,"00:03:55","Anna Maria Maiolino",,829,"Música: Vânia Dantas Leites
Actriu: Marilena Bibas
Veu: Verônica Gerchman",,,"bona","Anna Maria Maiolino","sí. Subtítols en anglès",,"DVD Loop","color","Aos Quatro Ventos"
"2006",,"00:56:13","Arxiu F.X.: La ciutat buida",,766,"DVD danyat el so",,,"dolenta","Pedro G. Romero","No",,"DVD","Color","Archivo F.X.: Laboratorio TV 01"
"2006",,"00:56:13","Arxiu F.X.: La ciutat buida",,767,"Còpia sense so.",,,"dolenta","Pedro G. Romero","No",,"DVD","Color","Archivo F.X.: Laboratorio TV 01"
"2006",,,"Arxiu F.X.: La ciutat buida",,768,"DVD danyat. No es pot llegir. El conservem perquè, segons la Noemí, és la còpia màster. Pedro G. Romero no disposa de cap altre exemplar.",,,"Dolenta.","Pedro G. Romero",,,"DVD","Color","Archivo F.X.: Laboratorio TV 02"
"1999",,"31'","Art & Language in Practice",,248,,,,"bona","Jackson Pollock Bar",,"1/5","VHS","color","Art & Language in Practice"
"1999",,"31'","Art & Language in Practice",,249,,,,"bona","Jackson Pollock Bar",,"2/5","VHS","color","Art & Language in Practice"
"1999",,"31'","Art & Language in Practice",,250,,"CEDIT A LA BIBLIOTECA (16/1/2001)",,"bona","Jackson Pollock Bar",,"3/5","VHS","color","Art & Language in Practice"
"1999","039_FV5_C016_NI251","31'","Art & Language in Practice",,251,,"Babuin, digitalització (gener 2011)",,,"Jackson Pollock Bar",,"4/5","Betacam SP S","color","Art & Language in Practice"
"1999","039_FV7_C016_NI462","31'","Art & Language in Practice",,462,,"Babuin, digitalització (gener 2011)",,,"Jackson Pollock Bar",,"5/5","VHS","color","Art & Language in Practice"
"1999",,"59'","Art & Language in Practice","performance",252,"master",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/3","VHS","color","Art & Language Paints a Picture instal·lat a l'estil del Jackson Pollock Bar"
"1999",,"59'","Art & Language in Practice","performance",253,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","bo","3/3","VHS","color","Art & Language Paints a Picture instal·lat a l'estil del Jackson Pollock Bar"
"1999","039_FV7_C016_NI461","59'","Art & Language in Practice","performance",461,"master","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","2/3","VHS","color","Art & Language Paints a Picture instal·lat a l'estil del Jackson Pollock Bar"
"2006",,"01:00:11","Col·lecció ",,692,"Audioguia visita de la Col·lecció ",,"AntennaAudio
Fundació Antoni Tàpies","bona","Miquel Monfort","català",,"CD (àudio Mp3)",,"Audioguia"
"2006",,"01:00:12","Col·lecció ",,693,"Audioguia visita de la Col·lecció ",,"AntennaAudio
Fundació Antoni Tàpies","bona","Miquel Monfort","castellà",,"CD (àudio Mp3)",,"Audioguia"
"2006",,"01:00:11","Col·lecció ",,694,"Audioguia visita de la Col·lecció ",,"AntennaAudio
Fundació Antoni Tàpies","bona","Miquel Monfort","francès",,"CD (àudio Mp3)",,"Audioguia"
"2006",,"01:00:11","Col·lecció ",,708,"Audioguia visita de la Col·lecció ",,"AntennaAudio
Fundació Antoni Tàpies","bona","Miquel Monfort","anglès",,"CD (àudio Mp3)",,"Audioguia"
"2006",,"00:04:04","Registres i Hàbits. Màquina de temps / imatges d´espai",,679,"Instal.lació sonora de Massimo Bartolini (28/09/2006)",,,"bona","Massimo Bartolini, Edoardo Marraffa","sí",,"CD (QuickTime)","color","Aus Schalfes Bruder"
"2005",,"00:16:00","Representacions àrabs contemporànies. L'equació iraquiana",,683,"Passe de fotografies.
ubicació: ubicació: despatx de Miquel, arxiu RAC",,"Arab Image Foundation, Beirut 2005","bona","Murad Daguestani","no",,"DVD","Passe de fotografies","Baghdad / Mossul 1930 - 1940 (Col·lecció Daguestani)
Baghdad 1940 - 1950 (Col·lecció Emri Selim Lucien)
Baghdad 1945 - 1970 (Col""lecció Mahamad Muhí Aref)
Iraq 1960 (Col·lecció Hadi Abdel Saheb el Diwani)

"
"2005",,"00:06:09","Representacions àrabs contemporànies. L'equació iraquiana",,682,"Passe de fotografies.
ubicació: ubicació: despatx de Miquel, arxiu RAC",,"Fundació Antoni Tàpies","bona","Emri Selim Lucien, fotògrafs anònims
","no",,"DVD","Passe de fotografies","Baghdad 1929 - 2964
Fotògraf anònim (Col·lecció Muhamad Abdel Saheb, Abdel Ghaffur)
Iraq 1904 - 1966
Fotògraf anònim (Col·lecció Ahmad Karim Abass el Safi)
Baghdad 1940 - 1975
Emri Selim Lucien
Baghdad 1950 - 1970
Fotògraf anònim (Col·lecció Murtada Muhammad Ali Khafaji)"
"2005",,"00:05:35","Representacions àrabs contemporànies. L'equació iraquiana",,680,"Passe de fotografies.
ubicació: ubicació: despatx de Miquel, arxiu RAC",,"Arab Image Foundetion, Beirut 2005","bona","Latif Al-Ani","no",,"DVD","Passe de fotografies","Baghdad 1955-1963 "
"1984","042_FV7_C016_NI442","32 min.","Renée Green: Ombres i senyals",,442,,"Babuin, digitalització (gener 2011)","Filmoteca Española, Marga Lobo","gravació antiga","Ferran Alberich","mono",,"VHS","colors de gravació antiga","Bajo el Signo de las Sombras"
"1999-2000",,"16 mm transferit a DVD, color, so, 4 min (dreta)","Registres i Hàbits. Màquina de temps / imatges d´espai",,631,,,,,"Jeanne Faust",,,"16 mm transferit a DVD",,"Balmorhea (detra)"
"1999-2000",,"16 mm transferit a DVD, color, so, 5 min (esquerra)","Registres i Hàbits. Màquina de temps / imatges d´espai",,632,,,,,"Jeanne Faust",,,"16 mm transferit a DVD",,"Balmorhea (esquerra)"
"1993, 1996",,"83'","Merce Cunningham",,271,"és una còpia del màster",,"Merce Cunningham Dance Foundation, Nova York",,,,"1/2","VHS","color","Beach Birds for Camera
CRWDSPCR (Crowdspacer)"
